symptom_1,symptom_2,symptom_3,symptom_4,disease,ayurvedic_remedy,recommended_herbs,diet_recommendation
phlegm,persistent_cough,congestion,fatigue,Cough,Talisadi churna with honey,Talisadi;Pippali;Vasaka,Avoid dairy and cold food
sore_throat,dry_cough,hoarseness,chest_tightness,Cough,Yashtimadhu churna gargle and vati,Yashtimadhu;Kantakari;Tulsi,Warm water with turmeric
difficulty_breathing,phlegm,persistent_cough,wheezing,Cough,Vasaka swaras with honey,Vasaka;Kantakari;Pippali,Avoid dust exposure and eat warm food
throat_irritation,congestion,dry_cough,fatigue,Cough,Sitopaladi with warm water,Sitopaladi;Tulsi;Ginger,Ginger honey tea twice daily
persistent_cough,hoarseness,sore_throat,phlegm,Cough,Khadiradi vati and throat gargle,Khadiradi;Yashtimadhu;Vasaka,Warm soup and avoid cold items
chest_tightness,dry_cough,difficulty_breathing,throat_irritation,Cough,Kantakari ghrita with warm milk,Kantakari;Vasaka;Pippali,Steam inhalation and warm food
phlegm,congestion,persistent_cough,wheezing,Cough,Talisadi with honey thrice daily,Talisadi;Vasaka;Kantakari,Avoid bananas and curd
sore_throat,fatigue,dry_cough,hoarseness,Cough,Yashtimadhu avaleha with warm water,Yashtimadhu;Tulsi;Vasaka,Warm milk with turmeric
persistent_cough,chest_tightness,phlegm,difficulty_breathing,Cough,Vasaka juice with honey twice daily,Vasaka;Pippali;Kantakari,Avoid exposure to cold air
dry_cough,throat_irritation,congestion,sore_throat,Cough,Sitopaladi churna with ghee,Sitopaladi;Ginger;Tulsi,Warm ginger tea
hoarseness,phlegm,persistent_cough,fatigue,Cough,Khadiradi vati tablets,Khadiradi;Yashtimadhu;Kantakari,Rest voice and drink warm fluids
chest_tightness,wheezing,dry_cough,difficulty_breathing,Cough,Kantakari avaleha daily,Kantakari;Vasaka;Pippali,Avoid allergens and cold food
congestion,sore_throat,phlegm,persistent_cough,Cough,Talisadi churna and steam therapy,Talisadi;Tulsi;Vasaka,Hot herbal tea with honey
extreme_tiredness,weakness,lack_of_energy,drowsiness,Fatigue,Ashwagandha churna with warm milk,Ashwagandha;Shatavari;Amalaki,Iron-rich foods like spinach and dates
drowsiness,lack_of_motivation,muscle_weakness,fatigue,Fatigue,Chyawanprash daily with warm milk,Chyawanprash;Ashwagandha;Amalaki,Balanced diet with proteins and vitamins
weakness,extreme_tiredness,poor_concentration,body_ache,Fatigue,Ashwagandharishta after meals,Ashwagandharishta;Shatavari;Guduchi,Nuts dry fruits and fresh vegetables
lack_of_energy,drowsiness,fatigue,irritability,Fatigue,Brahmi vati and ashwagandha milk,Brahmi;Ashwagandha;Shatavari,Regular meals with complex carbs
muscle_weakness,poor_concentration,extreme_tiredness,weakness,Fatigue,Dhatupaushtik churna with milk,Dhatupaushtik;Ashwagandha;Bala,Protein-rich diet
body_ache,lack_of_motivation,drowsiness,fatigue,Fatigue,Chyawanprash and ashwagandha combination,Chyawanprash;Ashwagandha;Amalaki,Fresh fruits and energizing foods
fatigue,irritability,weakness,lack_of_energy,Fatigue,Ashwagandha ksheera paka daily,Ashwagandha;Shatavari;Guduchi,Avoid junk food and eat fresh
extreme_tiredness,muscle_weakness,poor_concentration,drowsiness,Fatigue,Brahmi ashwagandha milk at night,Brahmi;Ashwagandha;Bala,Dates almonds and milk
lack_of_motivation,body_ache,fatigue,weakness,Fatigue,Dhatupaushtik churna twice daily,Dhatupaushtik;Ashwagandha;Shatavari,Regular exercise and balanced meals
drowsiness,lack_of_energy,irritability,extreme_tiredness,Fatigue,Chyawanprash with warm water,Chyawanprash;Amalaki;Guduchi,Iron and vitamin C rich foods
muscle_weakness,fatigue,poor_concentration,body_ache,Fatigue,Ashwagandharishta with water,Ashwagandharishta;Bala;Shatavari,Whole grains and legumes
weakness,drowsiness,lack_of_motivation,extreme_tiredness,Fatigue,Ashwagandha churna with ghee,Ashwagandha;Shatavari;Amalaki,Fresh home-cooked meals
irritability,lack_of_energy,muscle_weakness,fatigue,Fatigue,Brahmi vati and rejuvenation therapy,Brahmi;Ashwagandha;Guduchi,Green vegetables and fruits
body_ache,poor_concentration,drowsiness,weakness,Fatigue,Chyawanprash twice daily,Chyawanprash;Ashwagandha;Amalaki,Energy-boosting nuts and seeds
extreme_tiredness,fatigue,lack_of_motivation,irritability,Fatigue,Dhatupaushtik with warm milk,Dhatupaushtik;Shatavari;Bala,Avoid refined sugar
gas,bloating,abdominal_discomfort,belching,Gas / Bloating,Hingvastak churna with buttermilk after meals,Hingvastak;Ajwain;Hing,Avoid beans lentils and carbonated drinks
bloating,flatulence,stomach_cramps,heaviness,Gas / Bloating,Ajwain water and hing application on belly,Ajwain;Hing;Jeera,Eat slowly and chew food properly
abdominal_discomfort,gas,belching,nausea,Gas / Bloating,Lavanbhaskar churna with warm water,Lavanbhaskar;Ajwain;Saunf,Avoid raw vegetables at night
flatulence,bloating,gas,stomach_cramps,Gas / Bloating,Hingvastak churna twice daily,Hingvastak;Hing;Pippali,Small frequent meals
heaviness,abdominal_discomfort,belching,bloating,Gas / Bloating,Ajwain with black salt and warm water,Ajwain;Saindhava;Jeera,Avoid heavy meals
gas,nausea,flatulence,stomach_cramps,Gas / Bloating,Lavanbhaskar with buttermilk,Lavanbhaskar;Saunf;Ajwain,Light food and ginger tea
bloating,belching,heaviness,abdominal_discomfort,Gas / Bloating,Hingvastak with warm water before meals,Hingvastak;Hing;Ginger,Avoid carbonated beverages
stomach_cramps,gas,bloating,flatulence,Gas / Bloating,Ajwain ark with water after meals,Ajwain;Hing;Jeera,Eat cooked food only
nausea,abdominal_discomfort,belching,gas,Gas / Bloating,Chitrakadi vati before food,Chitrakadi;Pippali;Hing,Avoid overeating
flatulence,heaviness,stomach_cramps,bloating,Gas / Bloating,Lavanbhaskar churna daily,Lavanbhaskar;Ajwain;Saunf,Cumin and fennel water
gas,bloating,nausea,belching,Gas / Bloating,Hingvastak churna with ginger,Hingvastak;Ginger;Hing,Avoid dairy with meals
abdominal_discomfort,flatulence,stomach_cramps,heaviness,Gas / Bloating,Ajwain with hing and warm water,Ajwain;Hing;Saindhava,Walk after meals
bloating,gas,belching,nausea,Gas / Bloating,Shankha vati with warm water,Shankha;Ajwain;Saunf,Avoid late night snacking
stomach_cramps,heaviness,flatulence,abdominal_discomfort,Gas / Bloating,Hingvastak and ajwain combination,Hingvastak;Ajwain;Jeera,Eat at fixed times
gas,bloating,stomach_cramps,belching,Gas / Bloating,Lavanbhaskar with warm water,Lavanbhaskar;Hing;Saunf,Chew food thoroughly
flatulence,nausea,gas,heaviness,Gas / Bloating,Chitrakadi vati with ginger juice,Chitrakadi;Pippali;Ajwain,Light warm meals only
abdominal_discomfort,bloating,belching,stomach_cramps,Gas / Bloating,Ajwain water twice daily,Ajwain;Hing;Jeera,Avoid beans and cabbage
heaviness,gas,flatulence,nausea,Gas / Bloating,Hingvastak with buttermilk daily,Hingvastak;Ajwain;Ginger,Simple cooked meals
bloating,stomach_cramps,abdominal_discomfort,gas,Gas / Bloating,Shankha bhasma with honey,Shankha;Ajwain;Hing,Fennel tea after meals
belching,flatulence,heaviness,bloating,Gas / Bloating,Lavanbhaskar churna after food,Lavanbhaskar;Saunf;Pippali,Avoid mixing fruits with meals
gas,nausea,bloating,abdominal_discomfort,Gas / Bloating,Hingvastak with lukewarm water,Hingvastak;Hing;Ajwain,Light khichdi and cumin water
stomach_cramps,bloating,gas,heaviness,Gas / Bloating,Ajwain and hing paste on belly,Ajwain;Hing;Jeera,Avoid cold drinks after meals
flatulence,belching,abdominal_discomfort,gas,Gas / Bloating,Chitrakadi vati twice daily,Chitrakadi;Pippali;Ginger,Eat mindfully and slowly
nausea,heaviness,bloating,stomach_cramps,Gas / Bloating,Lavanbhaskar with ginger juice,Lavanbhaskar;Ajwain;Saunf,Warm water between meals
bloating,gas,flatulence,belching,Gas / Bloating,Hingvastak churna and cumin water,Hingvastak;Jeera;Hing,Avoid heavy dinner
abdominal_discomfort,stomach_cramps,nausea,gas,Gas / Bloating,Shankha vati and ajwain water,Shankha;Ajwain;Saunf,Small portions and regular meals
heaviness,bloating,flatulence,abdominal_discomfort,Gas / Bloating,Ajwain with warm water daily,Ajwain;Hing;Ginger,Avoid stale and reheated food
gas,stomach_cramps,belching,nausea,Gas / Bloating,Hingvastak and chitrakadi combination,Hingvastak;Chitrakadi;Ajwain,Fresh warm cooked food only
bloating,heaviness,abdominal_discomfort,flatulence,Gas / Bloating,Lavanbhaskar churna with buttermilk,Lavanbhaskar;Ajwain;Jeera,Ginger tea after meals
flatulence,gas,stomach_cramps,bloating,Gas / Bloating,Ajwain ark and hing tablets,Ajwain;Hing;Saunf,Avoid eating in a hurry
